link,country,amount,note,year,retrieved
/the-world-factbook/countries/kiribati,Kiribati,1900.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/kiribati,Kiribati,2000.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/korea-north,North Korea,1700.0,data are in 2015 US dollars,2015,2023-03-31
/the-world-factbook/countries/korea-north,North Korea,1800.0,data are in 2015 US dollars,2014,2023-03-31
/the-world-factbook/countries/korea-north,North Korea,1800.0,data are in 2015 US dollars,2013,2023-03-31
/the-world-factbook/countries/korea-south,South Korea,44200.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/korea-south,South Korea,42400.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/korea-south,South Korea,42800.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/kosovo,Kosovo,11900.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/kosovo,Kosovo,10700.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/kosovo,Kosovo,11300.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/kuwait,Kuwait,43900.0,,2020,2023-03-31
/the-world-factbook/countries/kuwait,Kuwait,47300.0,,2019,2023-03-31
/the-world-factbook/countries/kuwait,Kuwait,48900.0,,2018,2023-03-31
/the-world-factbook/countries/kyrgyzstan,Kyrgyzstan,4800.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/kyrgyzstan,Kyrgyzstan,4700.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/kyrgyzstan,Kyrgyzstan,5300.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/laos,Laos,7800.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/laos,Laos,7800.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/laos,Laos,7800.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/latvia,Latvia,32100.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/latvia,Latvia,30600.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/latvia,Latvia,31000.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/lebanon,Lebanon,13000.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/lebanon,Lebanon,13800.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/lebanon,Lebanon,17200.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/lesotho,Lesotho,2300.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/lesotho,Lesotho,2300.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/lesotho,Lesotho,2500.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/liberia,Liberia,1400.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/liberia,Liberia,1400.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/liberia,Liberia,1500.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/libya,Libya,22000.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/libya,Libya,16900.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/libya,Libya,22500.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/liechtenstein,Liechtenstein,139100.0,,2009,2023-03-31
/the-world-factbook/countries/liechtenstein,Liechtenstein,90100.0,,2008,2023-03-31
/the-world-factbook/countries/liechtenstein,Liechtenstein,91300.0,,2007,2023-03-31
/the-world-factbook/countries/lithuania,Lithuania,39300.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/lithuania,Lithuania,37200.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/lithuania,Lithuania,37200.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/luxembourg,Luxembourg,115700.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/luxembourg,Luxembourg,111800.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/luxembourg,Luxembourg,114500.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/macau,Macau,64800.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/macau,Macau,55200.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/macau,Macau,122800.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/madagascar,Madagascar,1500.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/madagascar,Madagascar,1400.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/madagascar,Madagascar,1600.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/malawi,Malawi,1500.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/malawi,Malawi,1500.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/malawi,Malawi,1500.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/malaysia,Malaysia,26300.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/malaysia,Malaysia,25800.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/malaysia,Malaysia,27700.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/maldives,Maldives,18800.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/maldives,Maldives,13400.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/maldives,Maldives,20600.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/mali,Mali,2100.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/mali,Mali,2100.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/mali,Mali,2200.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/malta,Malta,44700.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/malta,Malta,40700.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/malta,Malta,45400.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/marshall-islands,Marshall Islands,6000.0,,2021,2023-03-31
/the-world-factbook/countries/marshall-islands,Marshall Islands,5700.0,,2020,2023-03-31
/the-world-factbook/countries/marshall-islands,Marshall Islands,5600.0,,2019,2023-03-31
/the-world-factbook/countries/mauritania,Mauritania,5300.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/mauritania,Mauritania,5300.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/mauritania,Mauritania,5500.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/mauritius,Mauritius,21000.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/mauritius,Mauritius,20200.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/mauritius,Mauritius,23700.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/mexico,Mexico,19100.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/mexico,Mexico,18300.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/mexico,Mexico,20100.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/micronesia-federated-states-of,"Micronesia, Federated States of",3300.0,,2021,2023-03-31
/the-world-factbook/countries/micronesia-federated-states-of,"Micronesia, Federated States of",3500.0,,2020,2023-03-31
/the-world-factbook/countries/micronesia-federated-states-of,"Micronesia, Federated States of",3500.0,,2019,2023-03-31
/the-world-factbook/countries/moldova,Moldova,14000.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/moldova,Moldova,12200.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/moldova,Moldova,13000.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/monaco,Monaco,115700.0,,2015,2023-03-31
/the-world-factbook/countries/monaco,Monaco,109200.0,,2014,2023-03-31
/the-world-factbook/countries/monaco,Monaco,101900.0,,2013,2023-03-31
/the-world-factbook/countries/mongolia,Mongolia,11700.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/mongolia,Mongolia,11700.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/mongolia,Mongolia,12500.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/montenegro,Montenegro,20600.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/montenegro,Montenegro,18300.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/montenegro,Montenegro,21500.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/montserrat,Montserrat,34000.0,,2011,2023-03-31
/the-world-factbook/countries/montserrat,Montserrat,31100.0,,2010,2023-03-31
/the-world-factbook/countries/montserrat,Montserrat,32300.0,,2009,2023-03-31
/the-world-factbook/countries/morocco,Morocco,8100.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/morocco,Morocco,7500.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/morocco,Morocco,8200.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/mozambique,Mozambique,1200.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/mozambique,Mozambique,1200.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/mozambique,Mozambique,1300.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/namibia,Namibia,9100.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/namibia,Namibia,9000.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/namibia,Namibia,10000.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/nauru,Nauru,11900.0,,2021,2023-03-31
/the-world-factbook/countries/nauru,Nauru,12000.0,,2020,2023-03-31
/the-world-factbook/countries/nauru,Nauru,12000.0,,2019,2023-03-31
/the-world-factbook/countries/nepal,Nepal,3800.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/nepal,Nepal,3800.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/nepal,Nepal,3900.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/netherlands,Netherlands,56600.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/netherlands,Netherlands,54300.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/netherlands,Netherlands,56800.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/new-caledonia,New Caledonia,31100.0,,2015,2023-03-31
/the-world-factbook/countries/new-caledonia,New Caledonia,32100.0,,2014,2023-03-31
/the-world-factbook/countries/new-caledonia,New Caledonia,29800.0,,2012,2023-03-31
/the-world-factbook/countries/new-zealand,New Zealand,42900.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/new-zealand,New Zealand,41600.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/new-zealand,New Zealand,43100.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/nicaragua,Nicaragua,5600.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/nicaragua,Nicaragua,5200.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/nicaragua,Nicaragua,5300.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/niger,Niger,1200.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/niger,Niger,1200.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/niger,Niger,1200.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/nigeria,Nigeria,4900.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/nigeria,Nigeria,4900.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/nigeria,Nigeria,5100.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/niue,Niue,5800.0,,2003,2023-03-31
/the-world-factbook/countries/north-macedonia,North Macedonia,16500.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/north-macedonia,North Macedonia,15800.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/north-macedonia,North Macedonia,16800.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/northern-mariana-islands,Northern Mariana Islands,24500.0,,2016,2023-03-31
/the-world-factbook/countries/northern-mariana-islands,Northern Mariana Islands,18400.0,,2015,2023-03-31
/the-world-factbook/countries/northern-mariana-islands,Northern Mariana Islands,16600.0,,2014,2023-03-31
/the-world-factbook/countries/norway,Norway,65700.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/norway,Norway,63500.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/norway,Norway,64400.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/oman,Oman,34300.0,,2021,2023-03-31
/the-world-factbook/countries/oman,Oman,33100.0,,2020,2023-03-31
/the-world-factbook/countries/oman,Oman,33800.0,,2019,2023-03-31
/the-world-factbook/countries/pakistan,Pakistan,5200.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/pakistan,Pakistan,5000.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/pakistan,Pakistan,5200.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/palau,Palau,13800.0,,2021,2023-03-31
/the-world-factbook/countries/palau,Palau,16000.0,,2020,2023-03-31
/the-world-factbook/countries/palau,Palau,17600.0,,2019,2023-03-31
/the-world-factbook/countries/panama,Panama,29000.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/panama,Panama,25500.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/panama,Panama,31500.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/papua-new-guinea,Papua New Guinea,3700.0,data are in 2017 dollars,2021,2023-03-31
